run_id,element,charge,density,min_te,optimiser,optimal_weight,A,alpha,beta,V0,gamma,max_err_z1,max_err_z2,max_err_z3,passed_all,is_manual_override
20260526_204728,O,6,8.7,1.5,slsqp,0.15,4.589116e-32,7999.9984,0.0955,24.3979,-1.9929,1.1240,1.1240,1.6265,False,False
20260526_205100,O,6,9.0,1.5,slsqp,0.15,4.586321e-32,8000.0000,0.0957,24.3856,-1.9921,1.1178,1.1178,1.5935,False,False
20260526_205512,O,6,9.3,1.5,slsqp,0.15,4.607563e-32,7999.9998,0.0959,24.3728,-1.9923,1.1100,1.1100,1.5570,False,False
20260526_205916,O,6,9.7,1.5,slsqp,0.15,4.717323e-32,7999.9999,0.0964,24.3697,-1.9961,1.1013,1.1013,1.5340,False,False
20260526_210330,O,6,10.0,1.5,slsqp,0.15,4.132665e-32,7999.8817,0.1499,24.3872,-1.9500,1.0918,1.0918,1.5600,False,False
20260526_210718,O,6,10.3,1.5,slsqp,0.15,5.195273e-32,8000.0000,0.0973,24.4296,-2.0150,1.0835,1.0835,1.6272,False,False
20260526_211055,O,6,10.7,1.5,slsqp,0.15,5.590454e-32,7999.9999,0.0981,24.4892,-2.0298,1.0785,1.0935,1.7446,False,False
20260526_211450,O,6,11.0,1.5,slsqp,0.15,5.722493e-32,7999.9996,0.0992,24.5061,-2.0339,1.0770,1.0954,1.7812,False,False
20260526_211836,O,6,11.7,1.5,slsqp,0.15,5.699617e-32,8000.0000,0.0987,24.5044,-2.0327,1.0737,1.0978,1.8045,False,False
20260526_212218,O,6,12.0,1.5,slsqp,0.15,5.668471e-32,7999.9997,0.0987,24.5016,-2.0315,1.0709,1.0997,1.8050,False,False
20260526_212603,O,6,12.3,1.5,slsqp,0.15,5.677998e-32,8000.0000,0.0985,24.5011,-2.0320,1.0678,1.1010,1.8027,False,False
20260526_212939,O,6,12.7,1.5,slsqp,0.15,5.676894e-32,7999.9985,0.0986,24.5009,-2.0319,1.0668,1.1006,1.8022,False,False
20260526_213338,O,6,13.0,1.5,slsqp,0.15,5.678702e-32,8000.0000,0.0983,24.5008,-2.0321,1.0673,1.1005,1.8035,False,False
20260526_213707,O,6,13.3,1.5,slsqp,0.15,5.666928e-32,7999.9998,0.0990,24.5009,-2.0314,1.0672,1.1013,1.8044,False,False
20260526_214035,O,6,14.3,1.5,slsqp,0.15,5.678624e-32,7999.9996,0.0989,24.5010,-2.0319,1.0669,1.1000,1.8033,False,False
20260526_215935,O,6,14.7,1.5,slsqp,0.15,5.635497e-32,7999.9990,0.0974,24.4885,-2.0310,1.0674,1.0972,1.7757,False,False
20260526_220336,O,6,15.0,1.5,slsqp,0.15,5.591984e-32,7999.9998,0.0973,24.4805,-2.0295,1.0674,1.0949,1.7603,False,False
20260526_220752,O,6,15.3,1.5,slsqp,0.15,5.611448e-32,7999.9994,0.0974,24.4831,-2.0302,1.0667,1.0961,1.7674,False,False
20260526_221112,O,7,11.0,1.5,slsqp,0.15,3.048380e-32,8000.0000,0.0802,26.3211,-2.0207,1.0607,1.1726,1.3108,False,False
20260526_221414,O,7,11.3,1.5,slsqp,0.15,3.043193e-32,8000.0004,0.0800,26.3189,-2.0205,1.0600,1.1594,1.3406,False,False
20260526_221727,O,7,11.7,1.5,slsqp,0.15,3.036798e-32,7999.9997,0.0801,26.3175,-2.0200,1.0596,1.1539,1.3526,False,False
20260526_222041,O,7,12.0,1.5,slsqp,0.15,3.034230e-32,7999.9993,0.0800,26.3168,-2.0198,1.0596,1.1555,1.3474,False,False
20260526_222344,O,7,12.3,1.5,slsqp,0.15,3.030195e-32,7999.9999,0.0800,26.3161,-2.0195,1.0596,1.1577,1.3402,False,False
20260526_222709,O,7,12.7,1.5,slsqp,0.15,3.025042e-32,8000.0000,0.0800,26.3148,-2.0191,1.0595,1.1574,1.3383,False,False
20260526_223025,O,7,13.0,1.5,slsqp,0.15,3.021653e-32,8000.0001,0.0800,26.3139,-2.0189,1.0591,1.1568,1.3383,False,False
20260526_223357,O,7,13.3,1.5,slsqp,0.15,3.018641e-32,8000.0000,0.0800,26.3135,-2.0187,1.0587,1.1568,1.3378,False,False
20260526_223732,O,7,14.0,1.5,slsqp,0.15,2.982919e-32,7999.9999,0.0806,26.3052,-2.0160,1.0577,1.1534,1.3306,False,False
20260526_224051,O,7,14.3,1.5,slsqp,0.15,2.953455e-32,8000.0000,0.0804,26.2959,-2.0140,1.0565,1.1495,1.3225,False,False
20260526_224404,O,7,14.7,1.5,slsqp,0.15,2.926847e-32,8000.0000,0.0806,26.2912,-2.0118,1.0554,1.1479,1.3189,False,False
20260526_224700,O,7,15.0,1.5,slsqp,0.15,2.945857e-32,8000.0000,0.0801,26.2892,-2.0140,1.0546,1.1469,1.3169,False,False
20260526_225012,O,7,15.3,1.5,slsqp,0.15,2.963686e-32,8000.0000,0.0802,26.2851,-2.0162,1.0539,1.1451,1.3132,False,False
20260526_225019,Ne,0,13.0,1.5,slsqp,0.25,2.562216e-32,8000.0022,0.0800,4.4283,-1.6572,1.0514,1.1963,1.5972,True,False
20260526_230207,Ne,1,13.0,1.5,slsqp,0.10,2.045988e-31,8000.0004,0.2021,5.4824,-2.1987,1.0755,1.0755,2.0385,False,False
20260526_231056,Ne,2,13.0,1.5,slsqp,0.10,3.278829e-31,7999.4841,0.1268,5.6781,-2.0907,1.2089,3.5236,39.5536,False,False
20260526_231749,Ne,3,13.0,1.5,slsqp,0.10,3.107023e-31,7999.9999,0.0800,5.6650,-2.1247,2.1039,8.4896,233.0772,False,False
20260526_233127,Ne,4,13.0,1.5,slsqp,0.10,2.359988e-31,8000.0000,0.1034,5.1675,-1.9981,1.2674,2.6478,60.9505,False,False
20260526_234335,Ne,5,13.0,1.5,slsqp,0.10,2.232862e-31,7994.8506,0.1513,5.1711,-1.9725,1.3836,3.2989,119.7332,False,False
20260526_235138,Ne,6,13.0,1.5,slsqp,0.10,2.394164e-31,8000.0000,0.1010,4.9551,-2.0851,1.3771,1.5440,40.8846,False,False
20260526_235728,Ne,7,13.0,1.5,slsqp,0.10,2.062568e-32,8000.0000,1.6834,3.9146,-0.5624,1.2429,3.7530,3.7530,False,False
20260527_000100,Ne,8,8.0,1.5,slsqp,0.10,2.879272e-32,8000.0002,0.2110,31.0737,-1.9090,1.1780,1.1889,1.6586,False,False
20260527_000401,Ne,8,8.3,1.5,slsqp,0.10,1.804533e-32,7999.9810,0.3446,31.0538,-1.7735,1.1801,1.1801,1.6323,False,False
20260527_000706,Ne,8,8.7,1.5,slsqp,0.10,2.932772e-32,8000.0000,0.2028,31.0109,-1.9151,1.1846,1.1846,1.5386,False,False
20260527_001039,Ne,8,9.0,1.5,slsqp,0.15,4.486062e-32,8000.9557,0.1425,31.2755,-2.0245,1.1707,1.2740,2.0107,False,False
20260527_001409,Ne,8,9.3,1.5,slsqp,0.15,3.784743e-32,8000.0029,0.1876,31.2181,-1.9761,1.1648,1.2353,1.8865,False,False
20260527_003157,Ne,8,9.7,1.5,slsqp,0.15,3.289781e-32,8000.0001,0.2247,31.1668,-1.9350,1.1455,1.1963,1.7724,False,False
20260527_003601,Ne,8,10.0,1.5,slsqp,0.15,3.120371e-32,8000.0000,0.2244,31.1112,-1.9210,1.1203,1.1623,1.6609,False,False
20260527_004017,Ne,8,10.3,1.5,slsqp,0.15,2.920665e-32,8000.0000,0.2237,31.0569,-1.9035,1.0920,1.1316,1.5622,False,False
20260527_004526,Ne,8,10.7,1.5,slsqp,0.15,2.149034e-32,8000.0002,0.2886,31.0024,-1.8164,1.0611,1.1035,1.4816,False,False
20260527_005159,Ne,8,11.0,1.5,slsqp,0.10,2.793516e-32,8000.0008,0.1728,30.8475,-1.9002,1.0542,1.0542,1.2611,False,False
20260527_005727,Ne,8,11.3,1.5,slsqp,0.15,2.146538e-32,8000.0003,0.2700,30.9685,-1.8179,1.0461,1.0851,1.4488,False,False
20260527_010400,Ne,8,11.7,1.5,slsqp,0.15,2.062431e-32,8000.0002,0.2778,30.9639,-1.8067,1.0459,1.0822,1.4548,False,False
20260527_010955,Ne,8,12.0,1.5,slsqp,0.15,2.034216e-32,7999.9981,0.2808,30.9629,-1.8028,1.0462,1.0815,1.4564,False,False
20260527_011510,Ne,8,12.3,1.5,slsqp,0.15,2.058495e-32,7999.9998,0.2773,30.9624,-1.8063,1.0465,1.0814,1.4544,False,False
20260527_013544,Ne,8,12.7,1.5,slsqp,0.15,2.041637e-32,7999.9999,0.2796,30.9612,-1.8039,1.0470,1.0811,1.4504,False,False
20260527_014139,Ne,8,13.0,1.5,slsqp,0.15,2.101651e-32,8000.0010,0.2706,30.9591,-1.8125,1.0471,1.0801,1.4468,False,False
20260527_014730,Ne,8,13.3,1.5,slsqp,0.15,2.050915e-32,8000.0001,0.2778,30.9595,-1.8053,1.0472,1.0802,1.4481,False,False
20260527_015245,Ne,8,14.0,1.5,slsqp,0.15,2.028917e-32,8000.0011,0.2788,30.9525,-1.8029,1.0468,1.0784,1.4398,False,False
20260527_015919,Ne,8,14.3,1.5,slsqp,0.15,3.763908e-32,7999.9996,0.0984,30.9526,-1.9832,1.0455,1.0771,1.4269,False,False
20260527_020746,Ne,8,14.7,1.5,slsqp,0.15,2.128315e-32,7999.9998,0.2658,30.9506,-1.8170,1.0434,1.0777,1.4373,False,False
20260527_023428,Ne,8,15.0,1.5,slsqp,0.15,2.026343e-32,8000.0934,0.2788,30.9497,-1.8030,1.0444,1.0785,1.4377,False,False
20260527_023932,Ne,8,15.3,1.5,slsqp,0.15,2.054347e-32,8000.0023,0.2752,30.9518,-1.8070,1.0457,1.0796,1.4403,False,False
20260527_024212,Ne,9,13.0,1.5,slsqp,0.10,1.848530e-32,8000.0003,0.0800,32.6180,-1.9547,1.0584,1.0584,1.1859,False,False
20260527_024219,Ar,0,13.0,1.5,slsqp,0.15,4.079490e-32,7999.9999,1.4388,3.7090,-1.5572,1.0138,1.0746,1.0746,True,False
20260527_025425,Ar,1,13.0,1.5,slsqp,0.10,9.650222e-31,7999.9999,0.4353,4.1587,-2.5211,1.1435,2.5949,2.5949,False,False
20260527_031125,Ar,2,13.0,1.5,slsqp,0.10,1.739608e-30,7999.1870,1.0178,4.9298,-1.9497,1.1230,2.8236,7.3403,False,False
20260527_032646,Ar,3,13.0,1.5,slsqp,0.10,6.860703e-32,7999.9999,2.9825,4.8357,0.0293,1.1687,4.3065,11.2377,False,False
20260527_034517,Ar,4,13.0,1.5,slsqp,0.10,1.453336e-31,7999.5360,2.4364,4.7806,-0.5183,1.1560,2.9046,6.4303,False,False
20260527_040258,Ar,5,13.0,1.5,slsqp,0.10,9.639395e-31,7999.4230,1.0735,4.6714,-1.8947,1.1074,1.5676,2.4502,False,False
20260527_040305,Ar,6,13.0,1.5,slsqp,0.10,2.480634e-32,8000.0000,3.4631,4.6294,0.4721,1.0095,1.0143,1.0209,True,False
20260527_040313,Ar,7,13.0,1.5,slsqp,0.10,1.225175e-32,8000.0001,3.7468,4.2090,0.7567,1.0103,1.0147,1.0147,True,False
20260527_041101,Ar,8,13.0,1.5,slsqp,0.20,2.679334e-30,7999.9996,0.0800,17.1333,-2.9148,1.0094,1.0290,1.4097,False,False
20260527_042032,Ar,9,13.0,1.5,slsqp,0.10,7.318937e-31,7999.9999,0.0975,12.8118,-2.6000,14.7674,1114.5833,6412586.7286,False,False
20260527_043552,Ar,10,13.0,1.5,slsqp,0.10,2.134911e-31,8000.0000,0.1309,8.6285,-2.3085,1.6199,1.7760,4.3425,False,False
20260527_044647,Ar,11,13.0,1.5,slsqp,0.15,3.495946e-31,8000.0000,0.0806,7.8348,-2.4525,1.4096,1.5892,2.8750,False,False
20260527_050144,Ar,12,13.0,1.5,slsqp,0.10,4.431231e-31,7999.9999,0.0800,7.5978,-2.5336,1.3072,1.6018,3.1236,False,False
20260527_051809,Ar,13,13.0,1.5,slsqp,0.10,5.338489e-31,8000.0011,0.1738,7.4305,-2.5773,1.1888,1.3987,4.9563,False,False
20260527_051818,Ar,14,13.0,1.5,slsqp,0.10,1.122565e-31,8000.0005,1.1337,7.2749,-1.7374,1.0883,1.0883,1.0883,True,False
20260527_051849,Ar,15,13.0,1.5,slsqp,0.10,7.404013e-32,8000.5138,1.0494,5.8393,-1.8037,1.0981,1.0981,1.0981,True,False
20260527_052058,Ar,16,13.0,1.5,slsqp,0.20,1.019401e-30,7999.9999,0.0800,56.6411,-2.9010,1.0081,1.0359,1.1469,False,False
20260527_052326,Ar,17,13.0,1.5,slsqp,0.15,3.911526e-31,7999.9898,0.1496,58.3978,-2.8117,1.0165,1.0435,1.1297,False,False
20260610_124009,F,0,13.0,1.5,slsqp,0.10,3.507925e-31,7999.9196,1.0443,4.5677,-1.8601,1.1606,1.4586,1.7449,False,False
20260610_124046,F,1,13.0,1.5,slsqp,0.15,9.637791e-32,8000.0048,1.9342,5.0065,-1.0553,1.0256,1.0808,1.2329,True,False
20260610_130729,F,2,13.0,1.5,slsqp,0.10,4.747011e-31,8000.1241,0.8576,4.7466,-2.0519,1.1580,1.5160,1.8435,False,False
20260610_131633,F,3,13.0,1.5,slsqp,0.10,5.588885e-32,8000.0000,2.2625,4.9065,-0.6360,1.1428,1.2519,1.6464,True,False
20260610_131911,F,4,13.0,1.5,slsqp,0.10,4.513769e-32,8000.0021,2.4133,4.9237,-0.4757,1.1210,1.1795,1.4299,True,False
20260610_132053,F,5,13.0,1.5,slsqp,0.10,1.554510e-32,7999.9999,3.1719,4.6886,0.3157,1.1451,1.2052,1.3031,True,False
20260610_132100,F,6,13.0,1.5,slsqp,0.10,1.577804e-31,8000.0000,1.5226,3.7628,-1.4021,1.0747,1.0747,1.0747,True,False
20260610_132949,F,7,13.0,1.5,slsqp,0.20,1.408111e-30,7999.9999,0.0800,27.5769,-2.9071,1.0118,1.0508,1.2433,False,False
20260610_133815,F,8,13.0,1.5,slsqp,0.15,5.638718e-31,8000.0000,0.1189,29.2141,-2.8584,1.0209,1.0628,1.1793,False,False
